date,price
2019-12-12,1160.3793137301552
2019-12-13,1166.527134458034
2019-12-14,1139.989271814262
2019-12-15,1146.3628861742222
2019-12-16,1103.184514151649
2019-12-17,1046.7493960964748
2019-12-18,1141.727391083467
2019-12-19,1123.4115546500964
2019-12-20,1130.9975623949658
2019-12-21,1122.7344002010043
2019-12-22,1170.4862496470632
2019-12-23,1148.7979106011742
2019-12-24,1137.8650967394408
2019-12-25,1129.3158026233737
2019-12-26,1131.6211301718397
2019-12-27,1139.316256545382
2019-12-28,1153.2153006695448
2019-12-29,1170.7535607740554
2019-12-30,1147.3078054120724
2019-12-31,1137.762690565805
2020-01-01,1138.9217093974953
2020-01-02,1102.2616703272488
2020-01-03,1161.0129026768277
2020-01-04,1167.7366947835574
2020-01-05,1168.5401422095051
2020-01-06,1238.7818089839186
2020-01-07,1286.8822527679877
2020-01-08,1269.009960777341
2020-01-09,1235.6553028633116
2020-01-10,1290.8795828549532
2020-01-11,1278.70470001322
2020-01-12,1304.838840266621
2020-01-13,1297.3348153989891
2020-01-14,1453.474560371492
2020-01-15,1443.0836803612856
2020-01-16,1428.0814078603726
2020-01-17,1467.588517208906
2020-01-18,1461.671466600006
2020-01-19,1426.0292911969889
2020-01-20,1423.1738913787472
2020-01-21,1439.3331157347975
2020-01-22,1429.9196398393503
2020-01-23,1379.4765868210045
2020-01-24,1382.1974866729906
2020-01-25,1367.6483592321276
2020-01-26,1413.6496374667988
2020-01-27,1459.8712616471182
2020-01-28,1524.821898202386
2020-01-29,1517.700194709396
2020-01-30,1564.5478459515452
2020-01-31,1528.9289336268291
2020-02-01,1541.499255863179
2020-02-02,1545.4016125237745
2020-02-03,1545.0672400885185
2020-02-04,1529.5169654128256
2020-02-05,1611.602831008595
2020-02-06,1641.7092332150692
2020-02-07,1657.3834185575363
2020-02-08,1676.245884463347
2020-02-09,1719.756662612949
2020-02-10,1683.6343315616768
2020-02-11,1743.4612167174237
2020-02-12,1788.044712421513
2020-02-13,1781.6270996842527
2020-02-14,1811.6764964053027
2020-02-15,1715.2115660415
2020-02-16,1708.5488190849517
2020-02-17,1676.2201542245737
2020-02-18,1756.197607073617
2020-02-19,1653.7699890418085
2020-02-20,1641.5432710232635
2020-02-21,1664.347921749355
2020-02-22,1655.7192444177383
2020-02-23,1715.1381629456605
2020-02-24,1655.466489666167
2020-02-25,1592.602891052855
2020-02-26,1482.3487634544892
2020-02-27,1482.6135266708952
2020-02-28,1473.7648661095895
2020-02-29,1441.568492671254
2020-03-01,1442.1280335725692
2020-03-02,1509.255258634582
2020-03-03,1482.5461033166384
2020-03-04,1478.3334086406792
2020-03-05,1523.4098199267514
